"spec_id","record_scope","family","model_code","marketing_name","aliases","configuration","nominal_displacement_cc","actual_displacement_cc","bore_mm","stroke_mm","cooling","start_method","clutch","gear_pattern","reverse_configuration","ignition","applications","fit_limitations","oem_options","current_website_values","candidate_master_values","evidence_status","approval_status","visibility","evidence_sources","conflict_summary","affected_pages","review_owner_role","approved_by","approved_date","last_verified","notes"
"model-ac320-175mn","MODEL","AC320 ATV/UTV","AC320","ATV Off-Road Beach Vehicle Engine","175MN","Single-cylinder, 4-stroke, liquid-cooled, vertical; CVT","287","287.2","75","65","Liquid-cooled","","Reinforced 5-jaw centrifugal clutch","CVT; L-H-N-R","Built-in reverse","CDI","ATV | UTV | off-road beach vehicle","Confirm mounting, output shaft, driveline, cooling package and vehicle integration before quotation.","Not established at model level","en/products=AC320, 287cc, 17kW, 28N·m, CVT with built-in reverse | en/product-detail=Engine Model 175MN; 287.2cc; 75×65mm; liquid-cooled; CDI; CVT L-H-N-R","model=AC320; family=AC320 ATV/UTV; aliases=175MN; configuration=Single-cylinder, 4-stroke, liquid-cooled, vertical; CVT; nominal=287cc; actual=287.2cc; bore×stroke=75×65mm; cooling=Liquid-cooled; clutch=Reinforced 5-jaw centrifugal clutch; gears=CVT; L-H-N-R; reverse=Built-in reverse; ignition=CDI","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/products | https://chixiangmotor.com/en/product-detail?series=atv-ac320 | repo:en/products.html | repo:en/product-detail.html | owner-confirmation:2026-07-29","AC320与175MN关系及完整规格只出现在产品目录和noindex工具页，缺少批准的工厂规格表。","https://chixiangmotor.com/en/products | https://chixiangmotor.com/en/product-detail?series=atv-ac320","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","不把页面中的patented等措辞转入批准值。 唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"model-cg125","MODEL","CG air-cooled","CG125","CG125","CX156FMI","Single-cylinder, 4-stroke, natural air-cooled, vertical","125","124","56.5","49.5","Air-cooled","Electric / foot start","Manual wet multi-plate","5-speed constant mesh","According to configuration; not defined by the English specification table","CDI","Urban and work motorcycles | replacement market","Confirm engine code, mounting, output, electrical system, transmission and vehicle load.","Family page states OEM/ODM is available; model-specific options not approved","en/cg-engine=CG125/CX156FMI; 124ml; 56.5×49.5mm; electric/foot; manual wet multi-plate; 5 gears | latam data=CG125; 125cc; air-cooled; reverse according to configuration","model=CG125; family=CG air-cooled; aliases=CX156FMI; configuration=Single-cylinder, 4-stroke, natural air-cooled, vertical; nominal=125cc; actual=124cc; bore×stroke=56.5×49.5mm; cooling=Air-cooled; start=Electric / foot start; clutch=Manual wet multi-plate; gears=5-speed constant mesh; reverse=According to configuration; not defined by the English specification table; ignition=CDI","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/cg-engine | repo:en/cg-engine.html | repo:js/latam-cg-products.js | owner-confirmation:2026-07-29","标称125与表格实际124并非自动冲突，但必须由工厂确认标称和实际字段口径。","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/es/colombia/","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"model-cg150","MODEL","CG air-cooled","CG150","CG150","CX162FMJ","Single-cylinder, 4-stroke, natural air-cooled, vertical","150","149","62","49.5","Air-cooled","Electric / foot start","Manual wet multi-plate","5-speed constant mesh","According to configuration; not defined by the English specification table","CDI","Street and work motorcycles | delivery | replacement","Confirm engine code, mounting, output, electrical system, transmission and intended daily load.","Family page states OEM/ODM is available; model-specific options not approved","en/cg-engine=CG150/CX162FMJ; 149ml; 62×49.5mm; electric/foot; manual wet multi-plate; 5 gears | latam data=CG150; 150cc; air-cooled; reverse according to configuration","model=CG150; family=CG air-cooled; aliases=CX162FMJ; configuration=Single-cylinder, 4-stroke, natural air-cooled, vertical; nominal=150cc; actual=149cc; bore×stroke=62×49.5mm; cooling=Air-cooled; start=Electric / foot start; clutch=Manual wet multi-plate; gears=5-speed constant mesh; reverse=According to configuration; not defined by the English specification table; ignition=CDI","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/cg-engine | repo:en/cg-engine.html | repo:js/latam-cg-products.js | owner-confirmation:2026-07-29","市场页面支持CG150方向，但没有证明对任何具体车型的通用适配。","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/es/peru/ | https://chixiangmotor.com/es/colombia/","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"model-cg175","MODEL","CG air-cooled","CG175","CG175","CX162FMK","Single-cylinder, 4-stroke, natural air-cooled, vertical","175","174","62","57.5","Air-cooled","Electric / foot start","Manual wet multi-plate","5-speed constant mesh","According to configuration; not defined by the English specification table","CDI","Motorcycles | work motorcycles | assembly projects","Confirm engine code, mounting, output, electrical system, transmission and vehicle application.","Family page states OEM/ODM is available; model-specific options not approved","en/cg-engine=CG175/CX162FMK; 174ml; 62×57.5mm; electric/foot; manual wet multi-plate; 5 gears","model=CG175; family=CG air-cooled; aliases=CX162FMK; configuration=Single-cylinder, 4-stroke, natural air-cooled, vertical; nominal=175cc; actual=174cc; bore×stroke=62×57.5mm; cooling=Air-cooled; start=Electric / foot start; clutch=Manual wet multi-plate; gears=5-speed constant mesh; reverse=According to configuration; not defined by the English specification table; ignition=CDI","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/cg-engine | repo:en/cg-engine.html | owner-confirmation:2026-07-29","只有家族参数表，缺少独立型号资料和市场验证。","https://chixiangmotor.com/en/cg-engine","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"model-cg200","MODEL","CG air-cooled","CG200","CG200","CX163FML","Single-cylinder, 4-stroke, natural air-cooled, vertical","200","197","63.5","62.2","Air-cooled","Electric / foot start","Manual wet multi-plate","5-speed constant mesh","According to vehicle configuration; not defined by the English specification table","CDI","Work motorcycles | cargo applications subject to vehicle confirmation","Confirm motorcycle versus cargo variant, shaft, mounting, transmission, electrical interfaces and load.","Family page states OEM/ODM is available; model-specific options not approved","en/cg-engine=CG200/CX163FML; 197ml; 63.5×62.2mm; electric/foot; manual wet multi-plate; 5 gears | latam data=CG200; 200cc; air-cooled; reverse confirmed with vehicle configuration","model=CG200; family=CG air-cooled; aliases=CX163FML; configuration=Single-cylinder, 4-stroke, natural air-cooled, vertical; nominal=200cc; actual=197cc; bore×stroke=63.5×62.2mm; cooling=Air-cooled; start=Electric / foot start; clutch=Manual wet multi-plate; gears=5-speed constant mesh; reverse=According to vehicle configuration; not defined by the English specification table; ignition=CDI","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/cg-engine | repo:en/cg-engine.html | repo:js/latam-cg-products.js | owner-confirmation:2026-07-29","秘鲁资料支持CG200选择方向，但没有工厂适配表或批量需求证明。","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/es/peru/","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"model-cg250","MODEL","CG air-cooled","CG250","CG250","CX167FMM","Single-cylinder, 4-stroke, natural air-cooled, vertical","250","229.5","67","65","Air-cooled","Electric / foot start","Manual wet multi-plate","5-speed constant mesh","According to configuration; not defined by the English specification table","CDI","Motorcycles | work motorcycles | assembly projects","Confirm whether CG250 marketing name refers to the 229.5ml configuration and verify all interfaces.","Family page states OEM/ODM is available; model-specific options not approved","en/cg-engine=CG250/CX167FMM; 229.5ml; 67×65.0mm; electric/foot; manual wet multi-plate; 5 gears | latam range=CG250 listed under 150–250cc","model=CG250; family=CG air-cooled; aliases=CX167FMM; configuration=Single-cylinder, 4-stroke, natural air-cooled, vertical; nominal=250cc; actual=229.5cc; bore×stroke=67×65mm; cooling=Air-cooled; start=Electric / foot start; clutch=Manual wet multi-plate; gears=5-speed constant mesh; reverse=According to configuration; not defined by the English specification table; ignition=CDI","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/cg-engine | repo:en/cg-engine.html | repo:js/latam-cg-products.js | owner-confirmation:2026-07-29","CG250营销名与229.5ml实际排量需工厂确认口径。","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/es/peru/","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"model-cg150sb","MODEL","CG water-cooled","CG150SB","CG150SB water-cooled engine","","Single-cylinder, 4-stroke, water-cooled, vertical","150","149.5","62","49.5","Water-cooled","Electric / kick start","Manual wet multi-plate","","Optional built-in reverse configuration; confirm by model and order","","Work motorcycles | cargo tricycles subject to configuration","Confirm preferred model code, cooling circuit, mounting, transmission and whether reverse is built in.","Family-level configuration support only","en/cg-engine=CG150SB; 149.5ml; 62×49.5mm; water-cooled; electric/kick; manual wet multi-plate | latam data=CG150B; standard-water family | central-asia=CG Water reverse optional","model=CG150SB; family=CG water-cooled; configuration=Single-cylinder, 4-stroke, water-cooled, vertical; nominal=150cc; actual=149.5cc; bore×stroke=62×49.5mm; cooling=Water-cooled; start=Electric / kick start; clutch=Manual wet multi-plate; reverse=Optional built-in reverse configuration; confirm by model and order","VERIFIED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/es/peru/ | https://chixiangmotor.com/ru/central-asia/ | repo:en/cg-engine.html | repo:js/latam-cg-products.js | repo:js/central-asia-data.js | owner-confirmation:2026-07-29","唯一审核人确认：共享拉美数据中的CG150B为录入错误，批准型号代码为CG150SB；single bar措辞不作为规格使用。","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/es/peru/ | https://chixiangmotor.com/ru/central-asia/","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：是的录入错误应该是cg150sb"
"model-cg175sb","MODEL","CG water-cooled","CG175SB","CG175SB water-cooled engine","","Single-cylinder, 4-stroke, water-cooled, vertical","175","173.6","62","57.5","Water-cooled","Electric / kick start","Manual wet multi-plate","","Optional built-in reverse configuration; confirm by model and order","","Work motorcycles | cargo tricycles subject to configuration","Confirm cooling circuit, mounting, transmission and reverse configuration.","Family-level configuration support only","en/cg-engine=CG175SB; 173.6ml; 62×57.5mm; water-cooled; electric/kick; manual wet multi-plate | latam standard-water=CG175SB | central-asia=CG Water reverse optional","model=CG175SB; family=CG water-cooled; configuration=Single-cylinder, 4-stroke, water-cooled, vertical; nominal=175cc; actual=173.6cc; bore×stroke=62×57.5mm; cooling=Water-cooled; start=Electric / kick start; clutch=Manual wet multi-plate; reverse=Optional built-in reverse configuration; confirm by model and order","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/es/peru/ | https://chixiangmotor.com/ru/central-asia/ | repo:en/cg-engine.html | repo:js/latam-cg-products.js | repo:js/central-asia-data.js | owner-confirmation:2026-07-29","Type中的single bar措辞和型号级倒挡配置未确认。","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/es/peru/ | https://chixiangmotor.com/ru/central-asia/","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"model-cg200sb","MODEL","CG water-cooled","CG200SB","CG200SB water-cooled engine","CG200SB Tsunami（noindex工具页）","Single-cylinder, 4-stroke, water-cooled, vertical","200","197","63.5","62.2","Water-cooled","Electric / kick start","Manual wet multi-plate","","Optional built-in reverse configuration; confirm by model and order","","Work motorcycles | cargo tricycles | sustained-load applications subject to configuration","Confirm whether standard CG200SB and Tsunami CG200SB are distinct configurations and verify reverse.","Family-level configuration support only","en/cg-engine=CG200SB; 197ml; 63.5×62.2mm; water-cooled; electric/kick; manual wet multi-plate | product-detail=Tsunami model CG200SB | central-asia=CG Water reverse optional","model=CG200SB; family=CG water-cooled; aliases=CG200SB Tsunami（noindex工具页）; configuration=Single-cylinder, 4-stroke, water-cooled, vertical; nominal=200cc; actual=197cc; bore×stroke=63.5×62.2mm; cooling=Water-cooled; start=Electric / kick start; clutch=Manual wet multi-plate; reverse=Optional built-in reverse configuration; confirm by model and order","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/en/product-detail?series=tsunami | https://chixiangmotor.com/ru/central-asia/ | repo:en/cg-engine.html | repo:en/product-detail.html | repo:js/central-asia-data.js | owner-confirmation:2026-07-29","标准水冷与Tsunami命名关系、Type措辞和倒挡配置未确认。","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/en/products | https://chixiangmotor.com/ru/central-asia/","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
"model-cg250sb","MODEL","CG water-cooled","CG250SB","CG250SB water-cooled engine","CG250SB Tsunami（noindex工具页）","Single-cylinder, 4-stroke, water-cooled, vertical","250","246.3","70","64","Water-cooled","Electric / kick start","Manual wet multi-plate","","Optional built-in reverse configuration; confirm by model and order","","Work motorcycles | cargo tricycles | sustained-load applications subject to configuration","Confirm whether standard CG250SB and Tsunami CG250SB are distinct configurations and verify reverse.","Family-level configuration support only","en/cg-engine=CG250SB; 246.3ml; 70×64mm; water-cooled; electric/kick; manual wet multi-plate | product-detail=Tsunami model CG250SB | central-asia=CG Water reverse optional","model=CG250SB; family=CG water-cooled; aliases=CG250SB Tsunami（noindex工具页）; configuration=Single-cylinder, 4-stroke, water-cooled, vertical; nominal=250cc; actual=246.3cc; bore×stroke=70×64mm; cooling=Water-cooled; start=Electric / kick start; clutch=Manual wet multi-plate; reverse=Optional built-in reverse configuration; confirm by model and order","SUPPORTED","APPROVED_PUBLIC","PUBLIC","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/en/product-detail?series=tsunami | https://chixiangmotor.com/ru/central-asia/ | repo:en/cg-engine.html | repo:en/product-detail.html | repo:js/central-asia-data.js | owner-confirmation:2026-07-29","标准水冷与Tsunami命名关系、Type措辞和倒挡配置未确认。","https://chixiangmotor.com/en/cg-engine | https://chixiangmotor.com/en/products | https://chixiangmotor.com/ru/central-asia/","Factory Technical Management","Site Owner","2026-07-29","2026-07-29","唯一审核人确认（2026-07-29）：保留当前已填规格；空白字段仍视为未知，不得对外推断。"
